Validation_set,Topics,Alpha,Beta,Coherence
100% Corpus,5,asymmetric,0.1,0.6451345023272278
100% Corpus,5,asymmetric,0.4,0.601822006273131
100% Corpus,5,asymmetric,0.7000000000000001,0.5974749708681163
100% Corpus,5,asymmetric,symmetric,0.6317608894727214
100% Corpus,6,0.1,0.1,0.6417012118580013
100% Corpus,6,0.1,0.4,0.6514897563420596
100% Corpus,6,0.1,0.7000000000000001,0.6426027434122341
100% Corpus,6,0.1,symmetric,0.6401300568860027
100% Corpus,6,0.4,0.1,0.6381432768928319
100% Corpus,6,0.4,0.4,0.6505844707685474
100% Corpus,6,0.4,0.7000000000000001,0.638275297379391
100% Corpus,6,0.4,symmetric,0.6418597605057563
100% Corpus,6,0.7000000000000001,0.1,0.6381432768928319
100% Corpus,6,0.7000000000000001,0.4,0.6369060843860392
100% Corpus,6,0.7000000000000001,0.7000000000000001,0.6369554374434467
100% Corpus,6,0.7000000000000001,symmetric,0.638143276892832
100% Corpus,6,symmetric,0.1,0.6381432768928318
100% Corpus,6,symmetric,0.4,0.6514897563420596
100% Corpus,6,symmetric,0.7000000000000001,0.6422116003886459
100% Corpus,6,symmetric,symmetric,0.6401696540110003
100% Corpus,6,asymmetric,0.1,0.6417012118580013
100% Corpus,6,asymmetric,0.4,0.6514897563420596
100% Corpus,6,asymmetric,0.7000000000000001,0.6426027434122341
100% Corpus,6,asymmetric,symmetric,0.6386540618538232
100% Corpus,7,0.1,0.1,0.6464288508647427
100% Corpus,7,0.1,0.4,0.6557151231863215
100% Corpus,7,0.1,0.7000000000000001,0.651214857203419
100% Corpus,7,0.1,symmetric,0.6419064147942405
100% Corpus,7,0.4,0.1,0.6457432076711653
100% Corpus,7,0.4,0.4,0.6433766637865769
100% Corpus,7,0.4,0.7000000000000001,0.6397322386933527
100% Corpus,7,0.4,symmetric,0.6448805620905124
100% Corpus,7,0.7000000000000001,0.1,0.6422541841902843
100% Corpus,7,0.7000000000000001,0.4,0.6497925428932898
100% Corpus,7,0.7000000000000001,0.7000000000000001,0.6668680046460104
100% Corpus,7,0.7000000000000001,symmetric,0.6464170299853704
100% Corpus,7,symmetric,0.1,0.6464288508647427
100% Corpus,7,symmetric,0.4,0.654358135226267
100% Corpus,7,symmetric,0.7000000000000001,0.6459573135254093
100% Corpus,7,symmetric,symmetric,0.6468379179890935
100% Corpus,7,asymmetric,0.1,0.643155249312663
100% Corpus,7,asymmetric,0.4,0.6531897504380303
100% Corpus,7,asymmetric,0.7000000000000001,0.6421772543055463
100% Corpus,7,asymmetric,symmetric,0.6431218078190757
100% Corpus,8,0.1,0.1,0.6543713205472501
100% Corpus,8,0.1,0.4,0.6745991597026162
100% Corpus,8,0.1,0.7000000000000001,0.6849053477154081
100% Corpus,8,0.1,symmetric,0.6517840551992743
100% Corpus,8,0.4,0.1,0.6562686744421657
100% Corpus,8,0.4,0.4,0.6756625305355008
100% Corpus,8,0.4,0.7000000000000001,0.6817981007041349
100% Corpus,8,0.4,symmetric,0.6539307119265523
100% Corpus,8,0.7000000000000001,0.1,0.6575416364603095
100% Corpus,8,0.7000000000000001,0.4,0.6596726570503638
100% Corpus,8,0.7000000000000001,0.7000000000000001,0.659499451258784
100% Corpus,8,0.7000000000000001,symmetric,0.6571062790832403
100% Corpus,8,symmetric,0.1,0.6543713205472501
100% Corpus,8,symmetric,0.4,0.6745991597026162
100% Corpus,8,symmetric,0.7000000000000001,0.6849053477154081
100% Corpus,8,symmetric,symmetric,0.6517840551992743
100% Corpus,8,asymmetric,0.1,0.6229000371373445
100% Corpus,8,asymmetric,0.4,0.6622662045912644
100% Corpus,8,asymmetric,0.7000000000000001,0.6812602665107385
100% Corpus,8,asymmetric,symmetric,0.6294414434324018
100% Corpus,9,0.1,0.1,0.607872478767778
100% Corpus,9,0.1,0.4,0.6001101973702817
100% Corpus,9,0.1,0.7000000000000001,0.6219452585038513
100% Corpus,9,0.1,symmetric,0.6071185710588936
100% Corpus,9,0.4,0.1,0.6061754009391702
100% Corpus,9,0.4,0.4,0.5954769788937453
100% Corpus,9,0.4,0.7000000000000001,0.6170564703632198
100% Corpus,9,0.4,symmetric,0.6074080711553723
100% Corpus,9,0.7000000000000001,0.1,0.6052655986932216
100% Corpus,9,0.7000000000000001,0.4,0.5965079328737163
100% Corpus,9,0.7000000000000001,0.7000000000000001,0.6154548072408882
100% Corpus,9,0.7000000000000001,symmetric,0.6019459218265488
100% Corpus,9,symmetric,0.1,0.607872478767778
100% Corpus,9,symmetric,0.4,0.6001101973702817
100% Corpus,9,symmetric,0.7000000000000001,0.6179742915403372
100% Corpus,9,symmetric,symmetric,0.6071185710588936
100% Corpus,9,asymmetric,0.1,0.6015511692125355
100% Corpus,9,asymmetric,0.4,0.6036866549730666
100% Corpus,9,asymmetric,0.7000000000000001,0.6183645895659781
100% Corpus,9,asymmetric,symmetric,0.6011543299179763
